"","cell_id","N","NE","E","SE","S","SW","W","NW"
"1",1,10,11,2,NA,NA,NA,NA,NA
"2",2,11,12,3,NA,NA,NA,1,10
"3",3,12,13,4,NA,NA,NA,2,11
"4",4,13,14,5,NA,NA,NA,3,12
"5",5,14,15,6,NA,NA,NA,4,13
"6",6,15,16,7,NA,NA,NA,5,14
"7",7,16,17,8,NA,NA,NA,6,15
"8",8,17,18,9,NA,NA,NA,7,16
"9",9,18,NA,NA,NA,NA,NA,8,17
"10",10,19,20,11,2,1,NA,NA,NA
"11",11,20,21,12,3,2,1,10,19
"12",12,21,22,13,4,3,2,11,20
"13",13,22,23,14,5,4,3,12,21
"14",14,23,24,15,6,5,4,13,22
"15",15,24,25,16,7,6,5,14,23
"16",16,25,26,17,8,7,6,15,24
"17",17,26,27,18,9,8,7,16,25
"18",18,27,NA,NA,NA,9,8,17,26
"19",19,28,29,20,11,10,NA,NA,NA
"20",20,29,30,21,12,11,10,19,28
"21",21,30,31,22,13,12,11,20,29
"22",22,31,32,23,14,13,12,21,30
"23",23,32,33,24,15,14,13,22,31
"24",24,33,34,25,16,15,14,23,32
"25",25,34,35,26,17,16,15,24,33
"26",26,35,36,27,18,17,16,25,34
"27",27,36,NA,NA,NA,18,17,26,35
"28",28,37,38,29,20,19,NA,NA,NA
"29",29,38,39,30,21,20,19,28,37
"30",30,39,40,31,22,21,20,29,38
"31",31,40,41,32,23,22,21,30,39
"32",32,41,42,33,24,23,22,31,40
"33",33,42,43,34,25,24,23,32,41
"34",34,43,44,35,26,25,24,33,42
"35",35,44,45,36,27,26,25,34,43
"36",36,45,NA,NA,NA,27,26,35,44
"37",37,46,47,38,29,28,NA,NA,NA
"38",38,47,48,39,30,29,28,37,46
"39",39,48,49,40,31,30,29,38,47
"40",40,49,50,41,32,31,30,39,48
"41",41,50,51,42,33,32,31,40,49
"42",42,51,52,43,34,33,32,41,50
"43",43,52,53,44,35,34,33,42,51
"44",44,53,54,45,36,35,34,43,52
"45",45,54,NA,NA,NA,36,35,44,53
"46",46,55,56,47,38,37,NA,NA,NA
"47",47,56,57,48,39,38,37,46,55
"48",48,57,58,49,40,39,38,47,56
"49",49,58,59,50,41,40,39,48,57
"50",50,59,60,51,42,41,40,49,58
"51",51,60,61,52,43,42,41,50,59
"52",52,61,62,53,44,43,42,51,60
"53",53,62,63,54,45,44,43,52,61
"54",54,63,NA,NA,NA,45,44,53,62
"55",55,64,65,56,47,46,NA,NA,NA
"56",56,65,66,57,48,47,46,55,64
"57",57,66,67,58,49,48,47,56,65
"58",58,67,68,59,50,49,48,57,66
"59",59,68,69,60,51,50,49,58,67
"60",60,69,70,61,52,51,50,59,68
"61",61,70,71,62,53,52,51,60,69
"62",62,71,72,63,54,53,52,61,70
"63",63,72,NA,NA,NA,54,53,62,71
"64",64,NA,NA,65,56,55,NA,NA,NA
"65",65,NA,NA,66,57,56,55,64,NA
"66",66,NA,NA,67,58,57,56,65,NA
"67",67,NA,NA,68,59,58,57,66,NA
"68",68,NA,NA,69,60,59,58,67,NA
"69",69,NA,NA,70,61,60,59,68,NA
"70",70,NA,NA,71,62,61,60,69,NA
"71",71,NA,NA,72,63,62,61,70,NA
"72",72,NA,NA,NA,NA,63,62,71,NA
