"","Gen","Pair","Release","Action"
"1",2,1,1,1586
"2",2,1,1,1585
"3",2,1,1,1544
"4",2,1,1,1543
"5",2,1,1,1542
"6",2,1,1,1501
"7",2,1,1,1500
"8",2,1,1,1459
"9",2,1,1,1458
"10",2,1,1,1457
"11",2,1,1,1416
"12",2,1,1,1415
"13",2,1,1,1414
"14",2,1,1,1373
"15",2,1,1,1372
"16",2,1,1,1331
"17",2,1,1,1330
"18",2,1,1,1289
"19",2,1,1,1288
"20",2,1,1,1247
"21",2,1,1,1206
"22",2,1,1,1165
"23",2,1,1,1124
"24",2,1,1,1083
"25",2,1,1,1082
"26",2,1,1,1041
"27",2,1,1,1040
"28",2,1,1,1039
"29",2,1,1,998
"30",2,1,1,997
"31",2,1,1,956
"32",2,1,1,915
"33",2,1,1,874
"34",2,1,1,873
"35",2,1,1,832
"36",2,1,1,790
"37",2,1,1,791
"38",2,1,1,750
"39",2,1,1,751
"40",2,1,1,710
"41",2,1,1,711
"42",2,1,1,670
"43",2,1,1,671
"44",2,1,1,630
"45",2,1,1,589
"46",2,1,1,548
"47",2,1,1,507
"48",2,1,1,466
"49",2,1,1,465
"50",2,1,1,424
"51",2,1,1,383
"52",2,1,1,382
"53",2,1,1,341
"54",2,1,1,300
"55",2,1,1,299
"56",2,1,1,258
"57",2,1,1,217
"58",2,1,1,176
"59",2,1,1,175
"60",2,1,1,134
"61",2,1,1,135
"62",2,1,1,94
"63",2,1,2,1586
"64",2,1,2,1585
"65",2,1,2,1584
"66",2,1,2,1543
"67",2,1,2,1542
"68",2,1,2,1541
"69",2,1,2,1500
"70",2,1,2,1499
"71",2,1,2,1498
"72",2,1,2,1457
"73",2,1,2,1456
"74",2,1,2,1455
"75",2,1,2,1414
"76",2,1,2,1373
"77",2,1,2,1372
"78",2,1,2,1371
"79",2,1,2,1330
"80",2,1,2,1329
"81",2,1,2,1328
"82",2,1,2,1287
"83",2,1,2,1247
"84",2,1,2,1246
"85",2,1,2,1205
"86",2,1,2,1164
"87",2,1,2,1163
"88",2,1,2,1122
"89",2,1,2,1121
"90",2,1,2,1080
"91",2,1,2,1039
"92",2,1,2,1038
"93",2,1,2,997
"94",2,1,2,956
"95",2,1,2,915
"96",2,1,2,874
"97",2,1,2,873
"98",2,1,2,832
"99",2,1,2,833
"100",2,1,2,792
"101",2,1,2,751
"102",2,1,2,752
"103",2,1,2,711
"104",2,1,2,712
"105",2,1,2,671
"106",2,1,2,630
"107",2,1,2,589
"108",2,1,2,548
"109",2,1,2,507
"110",2,1,2,466
"111",2,1,2,465
"112",2,1,2,424
"113",2,1,2,383
"114",2,1,2,342
"115",2,1,2,301
"116",2,1,2,300
"117",2,1,2,259
"118",2,1,2,218
"119",2,1,2,217
"120",2,1,2,176
"121",2,1,2,135
"122",2,1,2,94
"123",2,1,4,1586
"124",2,1,4,1544
"125",2,1,4,1543
"126",2,1,4,1585
"127",2,1,4,1584
"128",2,1,4,1583
"129",2,1,4,1542
"130",2,1,4,1541
"131",2,1,4,1500
"132",2,1,4,1499
"133",2,1,4,1498
"134",2,1,4,1457
"135",2,1,4,1456
"136",2,1,4,1415
"137",2,1,4,1414
"138",2,1,4,1413
"139",2,1,4,1372
"140",2,1,4,1371
"141",2,1,4,1330
"142",2,1,4,1329
"143",2,1,4,1288
"144",2,1,4,1287
"145",2,1,4,1246
"146",2,1,4,1205
"147",2,1,4,1164
"148",2,1,4,1123
"149",2,1,4,1122
"150",2,1,4,1081
"151",2,1,4,1040
"152",2,1,4,1039
"153",2,1,4,998
"154",2,1,4,957
"155",2,1,4,956
"156",2,1,4,915
"157",2,1,4,874
"158",2,1,4,873
"159",2,1,4,832
"160",2,1,4,791
"161",2,1,4,750
"162",2,1,4,751
"163",2,1,4,710
"164",2,1,4,711
"165",2,1,4,670
"166",2,1,4,629
"167",2,1,4,588
"168",2,1,4,547
"169",2,1,4,546
"170",2,1,4,505
"171",2,1,4,504
"172",2,1,4,463
"173",2,1,4,462
"174",2,1,4,421
"175",2,1,4,420
"176",2,1,4,379
"177",2,1,4,338
"178",2,1,4,337
"179",2,1,4,296
"180",2,1,4,295
"181",2,1,4,254
"182",2,1,4,255
"183",2,1,4,214
"184",2,1,4,173
"185",2,1,4,132
"186",2,1,4,133
"187",2,1,4,92
"188",2,1,4,93
"189",2,1,6,1586
"190",2,1,6,1585
"191",2,1,6,1584
"192",2,1,6,1583
"193",2,1,6,1542
"194",2,1,6,1541
"195",2,1,6,1500
"196",2,1,6,1499
"197",2,1,6,1498
"198",2,1,6,1457
"199",2,1,6,1456
"200",2,1,6,1415
"201",2,1,6,1414
"202",2,1,6,1413
"203",2,1,6,1372
"204",2,1,6,1331
"205",2,1,6,1330
"206",2,1,6,1289
"207",2,1,6,1248
"208",2,1,6,1207
"209",2,1,6,1206
"210",2,1,6,1165
"211",2,1,6,1124
"212",2,1,6,1123
"213",2,1,6,1083
"214",2,1,6,1082
"215",2,1,6,1041
"216",2,1,6,999
"217",2,1,6,1000
"218",2,1,6,959
"219",2,1,6,958
"220",2,1,6,917
"221",2,1,6,876
"222",2,1,6,835
"223",2,1,6,793
"224",2,1,6,752
"225",2,1,6,711
"226",2,1,6,712
"227",2,1,6,671
"228",2,1,6,630
"229",2,1,6,629
"230",2,1,6,588
"231",2,1,6,547
"232",2,1,6,506
"233",2,1,6,505
"234",2,1,6,464
"235",2,1,6,463
"236",2,1,6,422
"237",2,1,6,381
"238",2,1,6,340
"239",2,1,6,299
"240",2,1,6,258
"241",2,1,6,257
"242",2,1,6,216
"243",2,1,6,175
"244",2,1,6,134
"245",2,1,6,93
"246",2,1,7,1586
"247",2,1,7,1585
"248",2,1,7,1584
"249",2,1,7,1543
"250",2,1,7,1583
"251",2,1,7,1582
"252",2,1,7,1541
"253",2,1,7,1542
"254",2,1,7,1501
"255",2,1,7,1500
"256",2,1,7,1459
"257",2,1,7,1458
"258",2,1,7,1417
"259",2,1,7,1376
"260",2,1,7,1375
"261",2,1,7,1334
"262",2,1,7,1333
"263",2,1,7,1292
"264",2,1,7,1251
"265",2,1,7,1250
"266",2,1,7,1209
"267",2,1,7,1168
"268",2,1,7,1127
"269",2,1,7,1126
"270",2,1,7,1085
"271",2,1,7,1044
"272",2,1,7,1004
"273",2,1,7,1003
"274",2,1,7,962
"275",2,1,7,921
"276",2,1,7,880
"277",2,1,7,879
"278",2,1,7,838
"279",2,1,7,797
"280",2,1,7,796
"281",2,1,7,755
"282",2,1,7,714
"283",2,1,7,673
"284",2,1,7,672
"285",2,1,7,631
